#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas); Delito
PPL 81;2826772634;Fabian Antonio Paredes Ramirez;48;32;10/07/1995;10/07/2027;3;2(B);B1;Medio;2;Hurto
PPL 82;9247895885;Pedro Angel Perero Hidalgo;54;37;02/07/1989;02/07/2026;2;2(B);B2;Medio;2;Robo
PPL 83;5412090404;Pedro Angel Romero Morales;35;16;04/03/2010;04/03/2026;2;2(B);B3;Medio;2;Fraude
PPL 84;4587550851;Pedro Pablo Paredes Reyes;42;26;21/03/2001;21/03/2027;3;2(B);B4;Medio;2;Evacion
PPL 85;4553760264;Roberto Sergio Romero Reyes;53;39;30/01/1990;30/01/2029;5;2(B);B5;Medio;2;Robo
PPL 86;3281051067;Michael Cesar Guerrero Roman;53;38;23/06/1991;23/06/2029;5;2(B);B6;Medio;2;Hurto
PPL 87;2230433088;Dario Pablo Garcia Rivera;28;22;22/06/2024;22/06/2046;22;2(B);B7;Medio;2;Fraude
PPL 88;7841711580;Dario Antonio Cuenca Rivera;43;24;05/11/2002;05/11/2026;2;2(B);B8;Medio;2;Fraude
PPL 89;5957414489;Roberto Diego Paredes Sanchez;58;42;17/07/1986;17/07/2028;4;2(B);B9;Medio;2;Robo
PPL 90;2097564739;Carlos Paulo Perero Hidalgo;42;26;23/08/2002;23/08/2028;4;2(B);B10;Medio;2;Evacion
PPL 91;4874924974;Michael Sergio Torres Ramirez;55;37;28/05/1989;28/05/2026;2;2(B);B11;Medio;2;Hurto
PPL 92;5235994771;Fabian Paulo Paredes Roman;33;12;21/07/2013;21/07/2025;1;2(B);B12;Medio;2;Fraude
PPL 93;5405020081;Dario Sergio Gonzales Hidalgo;42;27;21/04/2002;21/04/2029;5;2(B);B13;Medio;2;Hurto
PPL 94;8598254010;Roberto Julian Romero Gomez;41;28;27/02/2002;27/02/2030;6;2(B);B14;Medio;2;Evacion
PPL 95;5281665440;Roberto Paulo Romero Reyes;60;42;08/01/1986;08/01/2028;4;2(B);B15;Medio;2;Fraude
PPL 96;7878789585;Roberto Diego Perero Roman;52;38;07/06/1992;07/06/2030;6;2(B);B16;Medio;2;Fraude
PPL 97;3997632286;Victor Antonio Perero Rivera;35;24;25/05/2011;25/05/2035;11;2(B);B17;Medio;2;Hurto
PPL 98;4706820187;Pedro Angel Romero Gomez;49;33;30/08/1997;30/08/2030;6;2(B);B18;Medio;2;Evacion
PPL 99;1205572255;Michael Cesar Perero Ramirez;46;25;27/06/2002;27/06/2027;3;2(B);B19;Medio;2;Robo
PPL 100;7618029402;Michael Pablo Paredes Espinosa;44;22;10/01/2004;10/01/2026;2;2(B);B20;Medio;2;Robo
PPL 101;7997046803;Fabian Paulo Perero Ramirez;25;5;23/10/2020;23/10/2025;1;2(B);B21;Medio;2;Hurto
PPL 102;1366525471;Dario Adrian Perero Reyes;35;18;15/12/2008;15/12/2026;2;2(B);B22;Medio;2;Evacion
PPL 103;1847890262;Gonzalo Antonio Romero Rivera;28;25;24/10/2016;24/10/2041;17;2(B);B23;Medio;2;Hurto
PPL 104;7875385307;Pedro Pablo Torres Gomez;22;16;28/11/2023;28/11/2039;15;2(B);B24;Medio;2;Evacion
PPL 105;7921178719;Roberto Paulo Paredes Morales;42;26;29/02/2003;29/02/2029;5;2(B);B25;Medio;2;Evacion
PPL 106;2035712127;Carlos Pablo Cevallos Reyes;51;34;10/10/1992;10/10/2026;2;2(B);B26;Medio;2;Robo
PPL 107;6155279014;Fabian Julian Cuenca Morales;35;13;20/04/2017;20/04/2030;6;2(B);B27;Medio;2;Evacion
PPL 108;3684241083;Carlos Diego Perero Rivera;31;17;30/04/2012;30/04/2029;5;2(B);B28;Medio;2;Evacion
PPL 109;1213914106;Fabian Antonio Perero Reyes;34;15;02/02/2012;02/02/2027;3;2(B);B29;Medio;2;Fraude
PPL 110;7973196617;Roberto Sergio Romero Rivera;61;43;13/09/1983;13/09/2026;2;2(B);B30;Medio;2;Fraude
PPL 111;8312430096;Roberto Julian Guerrero Reyes;62;49;27/08/1981;27/08/2030;6;2(B);B31;Medio;2;Evacion
PPL 112;8817429616;Fabian Adrian Garcia Hidalgo;46;24;01/04/2014;01/04/2038;14;2(B);B32;Medio;2;Fraude
PPL 113;1508751224;Carlos Diego Romero Sanchez;52;32;19/12/1994;19/12/2026;2;2(B);B33;Medio;2;Hurto
PPL 114;6641011435;Carlos Pablo Cevallos Sanchez;61;48;07/07/1982;07/07/2030;6;2(B);B34;Medio;2;Evacion
PPL 115;6104416054;Michael Diego Paredes Hidalgo;49;35;23/01/1994;23/01/2029;5;2(B);B35;Medio;2;Fraude
PPL 116;4875888451;Gonzalo Pablo Gonzales Rivera;50;30;09/02/2022;09/02/2052;28;2(B);B36;Medio;2;Fraude
PPL 117;6786138043;Carlos Adrian Romero Rivera;38;15;15/03/2020;15/03/2035;11;2(B);B37;Medio;2;Hurto
PPL 118;3938584118;Gonzalo Cesar Paredes Sanchez;33;20;07/09/2010;07/09/2030;6;2(B);B38;Medio;2;Evacion
PPL 119;8103065711;Roberto Angel Guerrero Sanchez;37;30;18/01/2006;18/01/2036;12;2(B);B39;Medio;2;Fraude
PPL 120;4830879260;Victor Pablo Perero Hidalgo;38;30;02/11/2009;02/11/2039;15;2(B);B40;Medio;2;Evacion
PPL 121;9099489926;Gonzalo Diego Guerrero Reyes;33;17;18/09/2012;18/09/2029;5;2(B);B41;Medio;2;Hurto
PPL 122;1047338485;Roberto Diego Paredes Sanchez;42;23;05/02/2004;05/02/2027;3;2(B);B42;Medio;2;Fraude
PPL 123;1842053456;Dario Cesar Guerrero Ramirez;47;8;11/06/2022;11/06/2030;6;2(B);B43;Medio;2;Hurto
PPL 124;2278096872;Roberto Pablo Cevallos Roman;20;12;30/02/2023;30/02/2035;11;2(B);B44;Medio;2;Hurto
PPL 125;4656628304;Pedro Julian Romero Hidalgo;55;39;23/03/1989;23/03/2028;4;2(B);B45;Medio;2;Evacion
PPL 126;8140834856;Victor Paulo Gonzales Ramirez;32;22;08/04/2024;08/04/2046;22;2(B);B46;Medio;2;Evacion
PPL 127;9578882925;Roberto Cesar Guerrero Hidalgo;34;17;07/04/2009;07/04/2026;2;2(B);B47;Medio;2;Hurto
PPL 128;3395974410;Pedro Angel Garcia Reyes;55;39;17/12/1988;17/12/2027;3;2(B);B48;Medio;2;Robo
PPL 129;1334669246;Victor Diego Cevallos Morales;39;19;08/12/2007;08/12/2026;2;2(B);B49;Medio;2;Robo
PPL 130;9250799154;Michael Antonio Paredes Gomez;42;19;06/07/2023;06/07/2042;18;2(B);B50;Medio;2;Hurto
PPL 131;9101466005;Carlos Antonio Perero Ramirez;39;23;25/09/2007;25/09/2030;6;2(B);B51;Medio;2;Fraude
PPL 132;7477216656;Dario Antonio Garcia Reyes;52;35;06/03/1994;06/03/2029;5;2(B);B52;Medio;2;Robo
PPL 133;4938377500;Roberto Antonio Paredes Ramirez;50;31;01/06/1997;01/06/2028;4;2(B);B53;Medio;2;Hurto
PPL 134;2079260044;Gonzalo Julian Torres Reyes;47;29;06/10/2023;06/10/2052;28;2(B);B54;Medio;2;Hurto
PPL 135;3856213750;Gonzalo Angel Perero Reyes;38;25;04/02/2008;04/02/2033;9;2(B);B55;Medio;2;Hurto
PPL 136;2376963761;Roberto Antonio Paredes Sanchez;58;44;15/06/1986;15/06/2030;6;2(B);B56;Medio;2;Fraude
PPL 137;3807840153;Michael Angel Cuenca Hidalgo;49;32;15/11/1995;15/11/2027;3;2(B);B57;Medio;2;Hurto
PPL 138;4526463452;Victor Angel Romero Espinosa;38;26;12/03/2005;12/03/2031;7;2(B);B58;Medio;2;Robo
PPL 139;6337855466;Gonzalo Angel Guerrero Espinosa;52;34;30/10/1993;30/10/2027;3;2(B);B59;Medio;2;Evacion
PPL 140;7434460427;Roberto Sergio Romero Roman;58;45;29/02/1985;29/02/2030;6;2(B);B60;Medio;2;Evacion
PPL 141;9672421576;Michael Julian Torres Ramirez;42;21;22/03/2010;22/03/2031;7;2(B);B61;Medio;2;Evacion
PPL 142;3050344378;Pedro Paulo Torres Hidalgo;63;47;27/05/1982;27/05/2029;5;2(B);B62;Medio;2;Evacion
PPL 143;7281035710;Gonzalo Sergio Romero Reyes;46;26;17/08/2004;17/08/2030;6;2(B);B63;Medio;2;Robo
PPL 144;9462940178;Roberto Sergio Perero Sanchez;37;22;24/03/2007;24/03/2029;5;2(B);B64;Medio;2;Evacion
PPL 145;7665446279;Roberto Julian Perero Sanchez;28;13;16/10/2017;16/10/2030;6;2(B);B65;Medio;2;Hurto
PPL 146;9442272443;Gonzalo Adrian Romero Gomez;54;38;15/09/1990;15/09/2028;4;2(B);B66;Medio;2;Hurto
PPL 147;5444393139;Victor Cesar Guerrero Espinosa;50;33;21/12/1995;21/12/2028;4;2(B);B67;Medio;2;Hurto
PPL 148;9073683466;Gonzalo Antonio Perero Gomez;35;24;29/06/2010;29/06/2034;10;2(B);B68;Medio;2;Fraude
PPL 149;4046618451;Michael Antonio Paredes Gomez;50;33;08/03/1993;08/03/2026;2;2(B);B69;Medio;2;Evacion
PPL 150;7415186228;Fabian Sergio Cuenca Hidalgo;46;30;19/08/1997;19/08/2027;3;2(B);B70;Medio;2;Hurto
PPL 151;3837843649;Mario Julian Gonzales Roman;59;39;23/01/1987;23/01/2026;2;2(B);B71;Medio;2;Evacion
PPL 152;9412213169;Carlos Paulo Paredes Roman;61;48;20/10/1982;20/10/2030;6;2(B);B72;Medio;2;Robo
PPL 153;2021779758;Roberto Adrian Paredes Ramirez;33;19;17/05/2011;17/05/2030;6;2(B);B73;Medio;2;Fraude
PPL 154;5143676888;Roberto Cesar Perero Sanchez;45;17;14/08/2013;14/08/2030;6;2(B);B74;Medio;2;Evacion
PPL 155;6639498050;Michael Antonio Perero Gomez;49;28;29/07/2001;29/07/2029;5;2(B);B75;Medio;2;Hurto
PPL 156;6895944221;Dario Paulo Gonzales Morales;39;23;06/04/2008;06/04/2031;7;2(B);B76;Medio;2;Hurto
PPL 157;8607327479;Carlos Paulo Torres Roman;57;37;24/12/1989;24/12/2026;2;2(B);B77;Medio;2;Hurto
PPL 158;6688192059;Roberto Diego Cevallos Espinosa;30;12;16/07/2014;16/07/2026;2;2(B);B78;Medio;2;Fraude
PPL 159;8247460918;Pedro Angel Torres Rivera;64;48;12/03/1982;12/03/2030;6;2(B);B79;Medio;2;Robo
PPL 160;9749412727;Mario Antonio Cevallos Ramirez;27;10;24/03/2019;24/03/2029;5;2(B);B80;Medio;2;Robo
PPL 161;6549541652;Fabian Pablo Cuenca Ramirez;32;30;03/04/2011;03/04/2041;17;2(B);B81;Medio;2;Hurto
PPL 162;5815684374;Gonzalo Diego Guerrero Gomez;36;27;10/01/2008;10/01/2035;11;2(B);B82;Medio;2;Fraude
PPL 163;4211236442;Carlos Adrian Guerrero Sanchez;50;34;30/03/1996;30/03/2030;6;2(B);B83;Medio;2;Robo
PPL 164;4268158301;Victor Diego Paredes Rivera;60;43;15/11/1983;15/11/2026;2;2(B);B84;Medio;2;Robo
PPL 165;7758236833;Pedro Paulo Perero Sanchez;42;19;03/09/2010;03/09/2029;5;2(B);B85;Medio;2;Robo
PPL 166;8868811774;Roberto Antonio Perero Sanchez;57;41;16/08/1989;16/08/2030;6;2(B);B86;Medio;2;Fraude
PPL 167;1969913172;Pedro Angel Paredes Roman;46;33;22/11/1997;22/11/2030;6;2(B);B87;Medio;2;Evacion
