#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261;1953719811;Michael Paulo Romero Espinosa;66;47;05/06/1980;05/06/2027;3;3(C);C1;Medio;2;Hurto
PPL 262;4656456452;Mario Diego Cuenca Sanchez;23;10;29/06/2020;29/06/2030;6;3(C);C2;Medio;2;Robo
PPL 263;9255925367;Mario Sergio Perero Roman;63;48;25/09/1980;25/09/2028;4;3(C);C3;Medio;2;Fraude
PPL 264;9311537502;Pedro Angel Paredes Hidalgo;47;34;31/10/1996;31/10/2030;6;3(C);C4;Medio;2;Evacion
PPL 265;2054158768;Dario Diego Garcia Reyes;28;13;03/09/2015;03/09/2028;4;3(C);C5;Medio;2;Robo
PPL 266;5889678668;Michael Cesar Romero Sanchez;37;9;07/03/2016;07/03/2025;1;3(C);C6;Medio;2;Robo
PPL 267;60260100166;Michael Antonio Gonzales Roman;63;50;12/09/1980;12/09/2030;6;3(C);C7;Medio;2;Robo
PPL 268;6127061426;Fabian Paulo Paredes Gomez;45;28;04/07/1999;04/07/2027;3;3(C);C8;Medio;2;Evacion
PPL 269;57998100216;Victor Pablo Paredes Sanchez;25;5;23/01/2024;23/01/2029;5;3(C);C9;Medio;2;Hurto
PPL 270;7617075690;Michael Antonio Guerrero Espinosa;59;42;27/11/1987;27/11/2029;5;3(C);C10;Medio;2;Robo
PPL 271;5859134491;Mario Adrian Guerrero Sanchez;31;15;04/03/2012;04/03/2027;3;3(C);C11;Medio;2;Hurto
PPL 272;7075278295;Roberto Diego Garcia Roman;38;19;19/03/2014;19/03/2033;9;3(C);C12;Medio;2;Fraude
PPL 273;9851227582;Roberto Angel Gonzales Reyes;31;29;22/11/2015;22/11/2044;20;3(C);C13;Medio;2;Evacion
PPL 274;4595889572;Dario Julian Gonzales Hidalgo;32;27;24/06/2011;24/06/2038;14;3(C);C14;Medio;2;Hurto
PPL 275;4352859250;Roberto Diego Guerrero Gomez;63;47;22/09/1982;22/09/2029;5;3(C);C15;Medio;2;Hurto
PPL 276;9124845711;Victor Julian Guerrero Sanchez;25;8;10/03/2018;10/03/2026;2;3(C);C16;Medio;2;Evacion
PPL 277;5174974030;Dario Sergio Guerrero Sanchez;39;28;07/03/2007;07/03/2035;11;3(C);C17;Medio;2;Robo
PPL 278;1080322236;Roberto Adrian Paredes Rivera;52;35;04/12/1991;04/12/2026;2;3(C);C18;Medio;2;Hurto
PPL 279;1751270904;Pedro Antonio Cuenca Sanchez;43;26;22/08/2000;22/08/2026;2;3(C);C19;Medio;2;Robo
PPL 280;5192092178;Victor Julian Gonzales Sanchez;31;29;27/05/2012;27/05/2041;17;3(C);C20;Medio;2;Robo
PPL 281;1944195692;Roberto Angel Romero Rivera;41;22;03/12/2022;03/12/2044;20;3(C);C21;Medio;2;Hurto
PPL 282;1222977598;Fabian Paulo Perero Ramirez;48;27;27/03/2000;27/03/2027;3;3(C);C22;Medio;2;Hurto
PPL 283;2201613541;Victor Diego Torres Reyes;62;48;08/03/1981;08/03/2029;5;3(C);C23;Medio;2;Hurto
PPL 284;1151811783;Roberto Antonio Garcia Gomez;59;44;05/04/1985;05/04/2029;5;3(C);C24;Medio;2;Fraude
PPL 285;10024433890;Mario Sergio Paredes Ramirez;24;16;04/08/2022;04/08/2038;14;3(C);C25;Medio;2;Fraude
PPL 286;5082989187;Gonzalo Antonio Paredes Ramirez;63;47;26/09/1980;26/09/2027;3;3(C);C26;Medio;2;Hurto
PPL 287;1769859881;Roberto Angel Paredes Espinosa;47;34;29/03/1996;29/03/2030;6;3(C);C27;Medio;2;Robo
PPL 288;3207297720;Roberto Pablo Guerrero Espinosa;46;30;28/12/1997;28/12/2027;3;3(C);C28;Medio;2;Robo
PPL 289;8163930762;Pedro Diego Paredes Sanchez;62;46;05/10/1983;05/10/2029;5;3(C);C29;Medio;2;Evacion
PPL 290;56330100206;Roberto Julian Gonzales Sanchez;54;37;27/01/1989;27/01/2026;2;3(C);C30;Medio;2;Hurto
PPL 291;3962612928;Fabian Sergio Garcia Rivera;54;38;05/05/1990;05/05/2028;4;3(C);C31;Medio;2;Evacion
