#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 621;4754822452;Dario Cesar Gonzales Roman;62;44;15/08/1983;15/08/2027;3;5(E);E1;Bajo;4;Otros
PPL 622;3122677152;Pedro Paulo Cevallos Sanchez;53;38;05/08/1990;05/08/2028;4;5(E);E2;Bajo;4;Amenazas
PPL 623;8211174325;Pedro Antonio Guerrero Roman;47;32;25/09/1998;25/09/2030;6;5(E);E3;Bajo;4;Estafa
PPL 624;6054123435;Gonzalo Pablo Romero Hidalgo;45;27;07/02/1999;07/02/2026;2;5(E);E4;Bajo;4;Otros
PPL 625;2180647961;Fabian Julian Torres Espinosa;47;32;04/06/1997;04/06/2029;5;5(E);E5;Bajo;4;Estafa
PPL 626;1118555240;Mario Diego Cevallos Reyes;40;21;02/12/2013;02/12/2034;10;5(E);E6;Bajo;4;Invasion
PPL 627;6160949906;Michael Adrian Perero Reyes;38;8;24/04/2017;24/04/2025;1;5(E);E7;Bajo;4;Amenazas
PPL 628;9578883593;Pedro Adrian Torres Rivera;46;31;07/03/1999;07/03/2030;6;5(E);E8;Bajo;4;Amenazas
PPL 629;5022588305;Pedro Paulo Cuenca Morales;33;17;14/04/2024;14/04/2041;17;5(E);E9;Bajo;4;Invasion
PPL 630;1165654635;Roberto Pablo Cevallos Roman;54;39;29/07/1989;29/07/2028;4;5(E);E10;Bajo;4;Otros
PPL 631;6857247655;Gonzalo Angel Garcia Rivera;47;19;20/06/2011;20/06/2030;6;5(E);E11;Bajo;4;Estafa
PPL 632;3347928275;Roberto Sergio Perero Sanchez;47;34;04/09/1996;04/09/2030;6;5(E);E12;Bajo;4;Invasion
PPL 633;9139022738;Mario Julian Torres Ramirez;44;30;22/03/1999;22/03/2029;5;5(E);E13;Bajo;4;Otros
PPL 634;9483982226;Mario Antonio Perero Sanchez;52;36;06/11/1994;06/11/2030;6;5(E);E14;Bajo;4;Invasion
PPL 635;3211799283;Gonzalo Adrian Romero Espinosa;31;18;04/07/2014;04/07/2032;8;5(E);E15;Bajo;4;Estafa
PPL 636;1902146406;Roberto Adrian Guerrero Ramirez;59;42;23/11/1986;23/11/2028;4;5(E);E16;Bajo;4;Invasion
PPL 637;3136079322;Fabian Antonio Torres Ramirez;32;22;09/03/2022;09/03/2044;20;5(E);E17;Bajo;4;Amenazas
PPL 638;1386550881;Gonzalo Paulo Garcia Sanchez;49;34;27/01/1995;27/01/2029;5;5(E);E18;Bajo;4;Amenazas
PPL 639;7687537473;Carlos Paulo Guerrero Espinosa;62;45;28/04/1984;28/04/2029;5;5(E);E19;Bajo;4;Otros
PPL 640;9537178503;Roberto Julian Gonzales Hidalgo;39;23;24/11/2005;24/11/2028;4;5(E);E20;Bajo;4;Amenazas
PPL 641;10021768484;Carlos Julian Paredes Hidalgo;59;46;29/11/1984;29/11/2030;6;5(E);E21;Bajo;4;Invasion
PPL 642;7010662399;Dario Sergio Gonzales Reyes;45;14;24/07/2014;24/07/2028;4;5(E);E22;Bajo;4;Amenazas
